Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/transformer/layer.0/attention/Transpose_2,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x64x14
/transformer/layer.0/attention/MatMul,MatMul,301056,0.03%,9408,0.00%,0,0.00%,1x12x14x64,1x12x14x14
/transformer/layer.0/attention/Equal,Equal,28,0.00%,14,0.00%,0,0.00%,1x14,1x14
/transformer/layer.0/attention/Reshape_3,Reshape,0,0.00%,46,0.00%,4,0.00%,1x14,1x1x1x14
/transformer/layer.0/attention/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x12x14x14,4
/transformer/layer.0/attention/Expand,Expand,0,0.00%,2352,0.00%,0,0.00%,1x1x1x14,1x12x14x14
/transformer/layer.0/attention/Cast,Cast,0,0.00%,2352,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.0/attention/Where,Where,0,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.0/attention/Softmax,Softmax,169344,0.01%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.0/attention/MatMul_1,MatMul,301056,0.03%,43008,0.01%,0,0.00%,1x12x14x14,1x12x14x64
/transformer/layer.0/attention/Transpose_3,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x12x14x64,1x14x12x64
/transformer/layer.0/attention/Reshape_4,Reshape,0,0.00%,43032,0.01%,3,0.00%,1x14x12x64,1x14x768
/transformer/layer.0/attention/out_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.0/attention/out_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.0/Add,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.0/sa_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.0/ffn/lin1/MatMul,MatMul,66060288,5.50%,9609216,1.74%,2359296,1.76%,1x14x768,1x14x3072
/transformer/layer.0/ffn/lin1/Add,Add,86016,0.01%,184320,0.03%,3072,0.00%,3072,1x14x3072
/transformer/layer.0/ffn/activation/Div,Div,344064,0.03%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
